 ID    	经度/°        	纬度/°        	高程/m        	测量重力值/mGal      	重力异常/mGal             	
 1     	114.35096      	30.53628       	29             	979351.7164           	-43.37272882610998    	
 2     	114.3511       	30.53805       	29             	979351.4819           	-43.38121682278757    	
 3     	114.35101      	30.54026       	27             	979352.0198           	-43.394574827135735   	
 4     	114.35131      	30.54168       	28             	979349.1636           	-43.39942724180855    	
 5     	114.35104      	30.5446        	29             	979351.8884           	-43.41865119622112    	
 6     	114.35076      	30.546         	31             	979351.1948           	-43.4294374607265     	
 7     	114.35278      	30.54611       	38             	979351.099            	-43.408990380573684   	
 8     	114.35333      	30.54417       	39             	979351.7378           	-43.392351615966184   	
 9     	114.35333      	30.54194       	33             	979351.261            	-43.379821078907646   	
 10    	114.35306      	30.54028       	31             	979351.6824           	-43.373309841995926   	
 11    	114.35278      	30.53806       	34             	979351.1271           	-43.36375535338612    	
 12    	114.3530556    	30.53583333    	31             	979351.2559           	-43.3483678239477     	
 13    	114.3533333    	30.53333333    	36             	979351.1783           	-43.33142202449483    	
 14    	114.3552778    	30.53416667    	34             	979351.2283           	-43.31581517409706    	
 15    	114.3552778    	30.53583333    	32             	979351.4271           	-43.325180454693516   	
 16    	114.3555556    	30.53777778    	35             	979350.58             	-43.33320645359814    	
 17    	114.3555556    	30.54          	40             	979350.2413           	-43.34569282352124    	
 18    	114.3555556    	30.54194444    	54             	979344.8834           	-43.356618113527276   	
 19    	114.3555556    	30.54416667    	37             	979350.8408           	-43.36910392314477    	
 20    	114.3555556    	30.54583333    	40             	979351.6132           	-43.37846799416215    	
 21    	114.3577778    	30.53416667    	42             	979354.2823           	-43.28970954526871    	
 22    	114.3577778    	30.53583333    	47             	979353.3772           	-43.29907392253962    	
 23    	114.3583333    	30.53777778    	51             	979353.4123           	-43.30419481772851    	
 24    	114.3580556    	30.53972222    	45             	979354.3513           	-43.31802098025421    	
 25    	114.3580556    	30.54194444    	66             	979350.5467           	-43.330505859147216   	
 26    	114.3580556    	30.54388889    	46             	979354.1399           	-43.341429900996545   	
 27    	114.3580556    	30.54583333    	36             	979356.0297           	-43.352353635151104   	
 28    	114.360448     	30.53429       	44.8           	979348.9159           	-43.262495548960466   	
 29    	114.359758     	30.536084      	69.5           	979343.1955           	-43.27978835357568    	
 30    	114.360577     	30.537866      	63.2           	979342.491            	-43.28123656312556    	
 31    	114.360359     	30.540071      	49.2           	979345.9425           	-43.29590343679173    	
 32    	114.360312     	30.542017      	50.3           	979345.2933           	-43.30732694265302    	
 33    	114.360401     	30.544108      	43.7           	979348.0185           	-43.3181425290302     	
 34    	114.360833     	30.546386      	35.2           	979350.9499           	-43.32642062066747    	
 35    	114.362539     	30.533835      	43             	979350.4729           	-43.23806861151258    	
 36    	114.362532     	30.535892      	75             	979342.6418           	-43.24969730080689    	
 37    	114.362954     	30.537857      	92             	979342.2759           	-43.25631957554918    	
 38    	114.362816     	30.539984      	58             	979344.5033           	-43.269711746429294   	
 39    	114.362784     	30.541968      	52             	979346.4037           	-43.2811910864883     	
 40    	114.362703     	30.543998      	42             	979350.0473           	-43.29344140240195    	
 41    	114.362818     	30.546161      	29             	979352.6477           	-43.30438712109824    	
 42    	114.364918     	30.535906      	95             	979342.3759           	-43.22480009883281    	
 43    	114.365075     	30.537862      	88             	979342.3966           	-43.234142696749394   	
 44    	114.365015     	30.539881      	52             	979347.5509           	-43.24611140365514    	
 45    	114.364997     	30.542047      	33             	979350.8857           	-43.258465643226145   	
 46    	114.365054     	30.543972      	35             	979350.5378           	-43.268680472624546   	
 47    	114.36513      	30.545701      	32             	979352.5035           	-43.27759517706738    	
 48    	114.3675       	30.535833      	41             	979347.6733           	-43.19734022028819    	
 49    	114.3675       	30.536944      	101            	979331.8415           	-43.203580074772304   	
 50    	114.366944     	30.54          	41             	979349.2569           	-43.22657077133847    	
 51    	114.3675       	30.541389      	35             	979349.7772           	-43.22854429450249    	
 52    	114.366389     	30.543889      	31             	979350.2892           	-43.254228340930545   	
