 ID    	经度/°        	纬度/°        	 高程/m  	测量重力值/mGal      	重力异常/mGal         	布格重力异常/mGal       	
 1     	114.35096      	30.53628       	 29    	979351.7164           	-5.628105391631834    	-6.626858431729488    	
 2     	114.3511       	30.53805       	 29    	979351.4819           	-6.002517204848118    	-7.001270244945772    	
 3     	114.35101      	30.54026       	 27    	979352.0198           	-6.2565161078237      	-7.186389627750032    	
 4     	114.35131      	30.54168       	 28    	979349.1636           	-8.916370037710294    	-9.880683317780495    	
 5     	114.35104      	30.5446        	 29    	979351.8884           	-6.11381178884767     	-7.112564828945324    	
 6     	114.35076      	30.546         	 31    	979351.1948           	-6.300893981941044    	-7.3685265419771895   	
 7     	114.35278      	30.54611       	 38    	979351.099            	-4.245190567220561    	-5.553901447216049    	
 8     	114.35333      	30.54417       	 39    	979351.7378           	-3.144417147617787    	-4.487567787640728    	
 9     	114.35333      	30.54194       	 33    	979351.261            	-5.296523909433745    	-6.433035989408381    	
 10    	114.35306      	30.54028       	 31    	979351.6824           	-5.361097127315588    	-6.4287296873517334   	
 11    	114.35278      	30.53806       	 34    	979351.1271           	-4.815107680740766    	-5.986059520742856    	
 12    	114.3530556    	30.53583333    	 31    	979351.2559           	-5.436098575824872    	-6.503731135861017    	
 13    	114.3533333    	30.53333333    	 36    	979351.1783           	-3.7730929312529042   	-5.012924291193485    	
 14    	114.3552778    	30.53416667    	 34    	979351.2283           	-4.406160940066911    	-5.577112780069001    	
 15    	114.3552778    	30.53583333    	 32    	979351.4271           	-4.956298575852998    	-6.058370895916596    	
 16    	114.3555556    	30.53777778    	 35    	979350.58             	-5.0312989292433485   	-6.236690529272892    	
 17    	114.3555556    	30.54          	 40    	979350.2413           	-4.002662906423211    	-5.380253306473605    	
 18    	114.3555556    	30.54194444    	 54    	979344.8834           	-5.19387490733061     	-7.053621947299689    	
 19    	114.3555556    	30.54416667    	 37    	979350.8408           	-4.658353888196871    	-5.932625008164905    	
 20    	114.3555556    	30.54583333    	 40    	979351.6132           	-3.0919171089772135   	-4.469507509027608    	
 21    	114.3577778    	30.53416667    	 42    	979354.2823           	1.1166390599682927    	-0.3298308600205928   	
 22    	114.3577778    	30.53583333    	 47    	979353.3772           	1.6228014241205528    	0.004132704110816121  	
 23    	114.3583333    	30.53777778    	 51    	979353.4123           	2.738601070828736     	0.9821733108256012    	
 24    	114.3580556    	30.53972222    	 45    	979354.3513           	1.6722957029705867    	0.12250650301575661   	
 25    	114.3580556    	30.54194444    	 66    	979350.5467           	4.1726250925567       	1.8996009326074272    	
 26    	114.3580556    	30.54388889    	 46    	979354.1399           	1.4401064976118505    	-0.1441224623704329   	
 27    	114.3580556    	30.54583333    	 36    	979356.0297           	0.09018289088271558   	-1.1496484690578654   	
 28    	114.360448     	30.53429       	 44.8  	979348.9159           	-3.3954291542759165   	-4.938330402248539    	
 29    	114.359758     	30.536084      	 69.5  	979343.1955           	-1.6352126279380172   	-4.028775947983377    	
 30    	114.360577     	30.537866      	 63.2  	979342.491            	-4.424752475810237    	-6.601345307892188    	
 31    	114.360359     	30.540071      	 49.2  	979345.9425           	-5.467955501168035    	-7.162391693098471    	
 32    	114.360312     	30.542017      	 50.3  	979345.2933           	-5.931531037669629    	-7.663850965676829    	
 33    	114.360401     	30.544108      	 43.7  	979348.0185           	-5.408395618433133    	-6.9134131303289905   	
 34    	114.360833     	30.546386      	 35.2  	979350.9499           	-5.280191172612831    	-6.492470724624582    	
 35    	114.362539     	30.533835      	 43    	979350.4729           	-2.3579452908597887   	-3.8388549708761275   	
 36    	114.362532     	30.535892      	 75    	979342.6418           	-0.4764361003180966   	-3.0594181002816185   	
 37    	114.362954     	30.537857      	 92    	979342.2759           	4.248538949759677     	1.0800810297951102    	
 38    	114.362816     	30.539984      	 58    	979344.5033           	-4.184598097228445    	-6.182104177190922    	
 39    	114.362784     	30.541968      	 52    	979346.4037           	-4.292637409525923    	-6.083504929556511    	
 40    	114.362703     	30.543998      	 42    	979350.0473           	-3.8955193706788123   	-5.341989290667698    	
 41    	114.362818     	30.546161      	 29    	979352.6477           	-5.477922626887448    	-6.476675666985102    	
 42    	114.364918     	30.535906      	 95    	979342.3759           	5.428557279752567     	2.1567800797056407    	
 43    	114.365075     	30.537862      	 88    	979342.3966           	3.134443713235669     	0.1037448332644999    	
 44    	114.365015     	30.539881      	 52    	979347.5509           	-2.9804558989126235   	-4.771323418943211    	
 45    	114.364997     	30.542047      	 33    	979350.8857           	-5.680282648419961    	-6.816794728394598    	
 46    	114.365054     	30.543972      	 35    	979350.5378           	-5.56316389690619     	-6.768555496935733    	
 47    	114.36513      	30.545701      	 32    	979352.5035           	-4.659955175244249    	-5.762027495307848    	
 48    	114.3675       	30.535833      	 41    	979347.6733           	-5.932672491297126    	-7.344702651374973    	
 49    	114.3675       	30.536944      	 101   	979331.8415           	-3.336291519459337    	-6.814707279438153    	
 50    	114.366944     	30.54          	 41    	979349.2569           	-4.67846290639136     	-6.090493066469207    	
 51    	114.3675       	30.541389      	 35    	979349.7772           	-6.119565634988248    	-7.324957235017791    	
 52    	114.366389     	30.543889      	 31    	979350.2892           	-7.039602198521607    	-8.107234758557752    	
